"Issuer Name","Symbol","Reason","Status","Effective Date","Form 25 Date"
"FutureTech II Acquisition Corp.","FTIIU","Regulatory/Non Compliance","Suspended","2/26/2025",
"FutureTech II Acquisition Corp.","FTIIW","Regulatory/Non Compliance","Suspended","2/26/2025",
"Global Lights Acquisition Corp","GLAC","Regulatory/Non Compliance","Suspended","4/7/2025",
"Global Lights Acquisition Corp","GLACR","Regulatory/Non Compliance","Suspended","4/7/2025",
"Global Lights Acquisition Corp","GLACU","Regulatory/Non Compliance","Suspended","4/7/2025",
"Goldenstone Acquisition Limited","GDST","Regulatory/Non Compliance","Suspended","3/26/2025","7/8/2025"
"Goldenstone Acquisition Limited","GDSTR","Regulatory/Non Compliance","Suspended","3/26/2025","7/8/2025"
"Goldenstone Acquisition Limited","GDSTU","Regulatory/Non Compliance","Suspended","3/26/2025","7/8/2025"
"Goldenstone Acquisition Limited","GDSTW","Regulatory/Non Compliance","Suspended","3/26/2025","7/8/2025"
"Hall of Fame Resort & Entertainment Company","HOFV","Regulatory/Non Compliance","Suspended","6/27/2025",
"Hall of Fame Resort & Entertainment Company","HOFVW","Regulatory/Non Compliance","Suspended","6/27/2025",
"Hepion Pharmaceuticals, Inc.","HEPA","Regulatory/Non Compliance","Suspended","5/13/2025",
"Heramba Electric plc","PITA","Regulatory/Non Compliance","Suspended","4/29/2025",
"Heramba Electric plc","PITAW","Regulatory/Non Compliance","Suspended","4/29/2025",
"Hudson Acquisition I Corp.","HUDA","Regulatory/Non Compliance","Suspended","1/24/2025",
"Hudson Acquisition I Corp.","HUDAR","Regulatory/Non Compliance","Suspended","1/24/2025",
"Hudson Acquisition I Corp.","HUDAU","Regulatory/Non Compliance","Suspended","1/24/2025",
"IMAC Holdings, Inc.","BACK","Regulatory/Non Compliance","Suspended","3/26/2025",
"Immatics N.V.","IMTXW","Expiration","Suspended","7/1/2025","6/30/2025"
"Inozyme Pharma, Inc.","INZY","Acquisition/Merger","Suspended","7/2/2025","7/1/2025"
"Investcorp AI Acquisition Corp.","IVCA","Regulatory/Non Compliance","Suspended","5/8/2025",
"Investcorp AI Acquisition Corp.","IVCAU","Regulatory/Non Compliance","Suspended","5/8/2025",
"Investcorp AI Acquisition Corp.","IVCAW","Regulatory/Non Compliance","Suspended","5/8/2025",
"JVSPAC Acquisition Corp.","JVSA","Acquisition/Merger","Suspended","7/1/2025","6/30/2025"
"JVSPAC Acquisition Corp.","JVSAR","Acquisition/Merger","Suspended","7/1/2025","6/30/2025"
"JVSPAC Acquisition Corp.","JVSAU","Acquisition/Merger","Suspended","7/1/2025","6/30/2025"
"Kronos Bio, Inc.","KRON","Acquisition/Merger","Suspended","6/23/2025",
"LeddarTech Holdings Inc.","LDTC","Regulatory/Non Compliance","Suspended","6/20/2025",
"LeddarTech Holdings Inc.","LDTCW","Regulatory/Non Compliance","Suspended","6/20/2025",
"Lipella Pharmaceuticals Inc.","LIPO","Regulatory/Non Compliance","Suspended","6/20/2025",
"LogicMark, Inc.","LGMK","Regulatory/Non Compliance","Suspended","6/2/2025",
"Luokung Technology Corp","LKCO","Regulatory/Non Compliance","Suspended","3/31/2025",
"LuxUrban Hotels Inc.","LUXH","Regulatory/Non Compliance","Suspended","1/17/2025",
"LuxUrban Hotels Inc.","LUXHP","Regulatory/Non Compliance","Suspended","1/17/2025",
"Lytus Technologies Holdings PTV. Ltd.","LYT","Regulatory/Non Compliance","Suspended","3/31/2025",
"Marin Software Incorporated","MRIN","Regulatory/Non Compliance","Suspended","6/26/2025",
