Date,Open,High,Low,Close,Adj Close,Volume
,PTPI,PTPI,PTPI,PTPI,PTPI,PTPI
2021-04-27,817.5,842.5,800.0,842.5,842.5,27
2021-04-28,827.5,860.0,800.0,852.5,852.5,144
2021-04-29,860.0,860.0,825.0,825.0,825.0,21
2021-04-30,825.0,825.0,778.75,805.0,805.0,78
2021-05-03,805.0,805.0,781.25,787.5,787.5,54
2021-05-04,847.5,847.5,765.0,775.0,775.0,36
2021-05-05,772.5,830.0,772.5,825.0,825.0,70
2021-05-06,817.5,862.5,805.0,805.0,805.0,78
2021-05-07,812.5,855.0,782.5,850.0,850.0,45
2021-05-10,822.5,950.0,815.75,862.5,862.5,336
2021-05-11,802.5,866.25,798.25,802.5,802.5,62
2021-05-12,822.5,837.5,750.0,782.5,782.5,70
2021-05-13,757.5,770.0,725.0,737.5,737.5,84
2021-05-14,727.5,830.0,727.5,740.0,740.0,124
2021-05-17,827.5,1112.5,742.5,782.5,782.5,28648
2021-05-18,737.5,800.0,727.5,780.0,780.0,1128
2021-05-19,762.5,762.5,727.5,755.0,755.0,338
2021-05-20,752.5,774.25,725.0,730.0,730.0,158
2021-05-21,727.5,810.0,705.0,745.0,745.0,1038
2021-05-24,740.0,1060.0,725.0,1027.5,1027.5,4750
2021-05-25,825.0,885.0,812.5,852.5,852.5,1474
2021-05-26,830.0,840.0,795.0,797.5,797.5,269
2021-05-27,795.0,832.0,775.0,790.0,790.0,379
2021-05-28,810.0,810.0,743.75,757.5,757.5,372
2021-06-01,757.5,775.0,745.0,760.0,760.0,287
2021-06-02,750.0,765.0,718.75,735.0,735.0,371
2021-06-03,740.0,747.5,725.0,745.0,745.0,224
2021-06-04,745.0,760.0,731.75,755.0,755.0,96
2021-06-07,750.0,805.0,737.5,782.5,782.5,473
2021-06-08,782.5,797.5,760.0,772.5,772.5,204
2021-06-09,780.0,780.0,757.5,777.5,777.5,114
2021-06-10,780.0,842.5,777.5,815.0,815.0,599
2021-06-11,815.0,830.0,799.0,817.5,817.5,164
2021-06-14,822.5,822.5,790.0,810.0,810.0,170
2021-06-15,807.5,807.5,760.0,780.0,780.0,149
2021-06-16,775.5,797.5,763.25,775.0,775.0,124
2021-06-17,779.0,925.0,770.0,917.5,917.5,1110
2021-06-18,860.0,912.5,822.5,865.0,865.0,582
2021-06-21,865.0,912.5,825.0,877.5,877.5,2178
2021-06-22,987.5,990.0,760.0,777.5,777.5,2420
2021-06-23,795.0,832.5,767.5,832.5,832.5,831
2021-06-24,825.0,830.0,790.0,795.0,795.0,206
2021-06-25,790.0,830.0,787.5,787.5,787.5,312
2021-06-28,787.5,795.0,760.0,770.0,770.0,390
2021-06-29,777.5,787.5,757.5,785.0,785.0,142
2021-06-30,780.0,787.5,767.5,782.5,782.5,138
2021-07-01,790.0,817.5,782.5,800.0,800.0,147
2021-07-02,800.0,810.0,785.0,785.0,785.0,138
2021-07-06,785.0,785.0,732.5,755.0,755.0,338
2021-07-07,765.0,771.5,732.5,765.0,765.0,197
2021-07-08,745.0,776.25,725.0,767.5,767.5,269
2021-07-09,767.5,782.5,767.5,777.0,777.0,46
2021-07-12,772.5,780.0,770.0,775.0,775.0,101
2021-07-13,785.0,803.75,772.5,800.0,800.0,117
2021-07-14,800.0,800.0,767.5,772.5,772.5,106
2021-07-15,797.5,797.5,748.75,762.5,762.5,87
2021-07-16,755.0,760.0,747.5,755.0,755.0,54
2021-07-19,743.25,755.0,718.0,750.0,750.0,271
2021-07-20,730.0,825.0,730.0,787.5,787.5,1279
2021-07-21,780.0,812.5,770.0,782.5,782.5,114
2021-07-22,767.5,797.5,767.5,792.25,792.25,218
2021-07-23,780.0,812.5,777.5,795.0,795.0,156
2021-07-26,780.25,810.0,762.5,775.0,775.0,109
2021-07-27,860.5,860.5,737.5,757.5,757.5,911
2021-07-28,750.0,783.75,750.0,772.5,772.5,117
2021-07-29,762.5,776.25,747.5,752.5,752.5,215
2021-07-30,757.5,766.25,735.0,760.0,760.0,266
2021-08-02,742.5,770.75,742.5,762.5,762.5,88
2021-08-03,757.5,760.0,740.0,752.5,752.5,176
2021-08-04,742.5,765.0,737.5,755.0,755.0,155
2021-08-05,750.0,782.5,750.0,752.5,752.5,309
2021-08-06,753.75,770.0,747.5,757.5,757.5,165
2021-08-09,757.5,760.25,752.5,755.0,755.0,25
2021-08-10,763.75,763.75,732.5,757.5,757.5,210
2021-08-11,762.5,785.0,745.0,760.0,760.0,158
2021-08-12,760.0,760.0,745.0,752.5,752.5,79
2021-08-13,755.0,760.0,745.0,755.0,755.0,79
2021-08-16,755.0,755.0,627.5,677.5,677.5,257
2021-08-17,677.5,677.5,625.0,625.0,625.0,166
2021-08-18,620.0,650.0,557.5,557.5,557.5,179
2021-08-19,575.0,658.5,575.0,615.0,615.0,397
2021-08-20,602.5,622.5,567.5,567.5,567.5,262
2021-08-23,590.0,590.0,505.0,525.0,525.0,727
2021-08-24,517.5,547.5,517.5,520.0,520.0,149
2021-08-25,515.0,535.0,510.0,510.0,510.0,176
2021-08-26,505.0,562.5,485.0,531.25,531.25,518
2021-08-27,537.5,602.5,522.5,590.0,590.0,775
2021-08-30,577.5,610.0,569.75,580.0,580.0,152
2021-08-31,580.0,603.75,557.5,562.5,562.5,237
2021-09-01,577.5,597.5,542.5,595.0,595.0,54
2021-09-02,595.0,601.25,580.0,583.75,583.75,31
2021-09-03,580.0,580.0,547.5,547.5,547.5,20
2021-09-07,550.75,602.5,550.75,585.0,585.0,380
2021-09-08,582.5,595.0,550.0,585.0,585.0,73
2021-09-09,582.5,588.75,562.5,575.0,575.0,59
2021-09-10,572.5,612.5,560.0,595.0,595.0,240
2021-09-13,587.5,592.5,562.5,565.0,565.0,90
2021-09-14,562.5,562.5,512.5,520.0,520.0,214
2021-09-15,538.75,538.75,487.5,517.5,517.5,146
2021-09-16,520.0,532.5,496.25,510.0,510.0,121
2021-09-17,502.5,522.5,467.5,467.5,467.5,291
2021-09-20,470.0,517.5,470.0,500.0,500.0,149
2021-09-21,500.0,500.5,450.0,467.5,467.5,194
2021-09-22,465.0,492.5,451.25,460.0,460.0,100
2021-09-23,470.0,515.0,460.0,467.5,467.5,54
2021-09-24,462.5,522.5,460.0,487.5,487.5,434
2021-09-27,485.0,500.0,480.0,487.5,487.5,99
2021-09-28,477.5,485.0,455.0,455.0,455.0,315
2021-09-29,465.0,517.5,465.0,480.0,480.0,268
2021-09-30,475.0,500.0,475.0,500.0,500.0,38
2021-10-01,500.0,500.0,485.0,485.0,485.0,20
2021-10-04,485.0,495.0,467.5,467.5,467.5,204
2021-10-05,455.0,477.5,452.5,470.0,470.0,85
2021-10-06,460.0,470.0,425.0,425.0,425.0,256
2021-10-07,449.75,449.75,412.5,420.0,420.0,60
2021-10-08,437.5,472.5,432.5,445.0,445.0,114
2021-10-11,427.5,455.0,400.0,406.75,406.75,480
2021-10-12,407.5,407.5,391.75,395.0,395.0,56
2021-10-13,395.0,407.5,390.0,397.5,397.5,141
2021-10-14,400.0,422.5,397.5,397.5,397.5,476
2021-10-15,397.5,437.5,397.5,410.0,410.0,125
2021-10-18,412.5,416.0,400.0,402.5,402.5,112
2021-10-19,405.0,420.0,400.0,405.0,405.0,132
2021-10-20,410.0,410.0,392.5,410.0,410.0,71
2021-10-21,455.0,480.0,420.0,425.0,425.0,5906
2021-10-22,462.5,550.0,427.5,472.5,472.5,2608
2021-10-25,482.5,532.5,482.5,522.5,522.5,1510
